Tue May 10 17:22:06 2016 ------- Test Case r009.pl.pl Started -------
*** 2016-05-10 17:24:03 'r009.pl' 248 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:24:08 'r009.pl' 250 - findStringOnPanel "SEGMENT TRANSLATION EXCPTN (0C4)" Passed ***
*** 2016-05-10 17:24:08 'r009.pl' 253 - write2CommandLine "GO TO S0C4FIX;RUN" Passed ***
*** 2016-05-10 17:24:13 'r009.pl' 255 - findStringOnPanel ">>>>>>    STEP_DEMO: PROC;                      /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:24:13 'r009.pl' 258 - write2CommandLine "KEEP STEP_VALUE" Passed ***
*** 2016-05-10 17:24:13 'r009.pl' 259 - findStringOnPanel "''''''   03 STEP_VALUE                      BIN FIX (31,0)      ADDR" Passed ***
*** 2016-05-10 17:24:23 'r009.pl' 262 - write2CommandLine "STEP 10 AUTO" Passed ***
*** 2016-05-10 17:24:23 'r009.pl' 263 - findStringOnPanel "ASG2163I STEP 10 OF 10 EXECUTED." Passed ***
*** 2016-05-10 17:24:23 'r009.pl' 266 - write2CommandLine "STEP OVER" Passed ***
*** 2016-05-10 17:24:23 'r009.pl' 267 - findStringOnPanel "STOPPED BY "STEP OVER" REQUEST" Passed ***
*** 2016-05-10 17:24:23 'r009.pl' 270 - write2CommandLine "RUN" Passed ***
*** 2016-05-10 17:24:26 'r009.pl' 272 - findStringOnPanel ">>>>>>       STEP_VALUE = 0;                    /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:24:26 'r009.pl' 275 - write2CommandLine "RESET KEEP" Passed ***
*** 2016-05-10 17:24:26 'r009.pl' 278 - write2CommandLine "SET OPERANDS ON" Passed ***
*** 2016-05-10 17:24:26 'r009.pl' 279 - findStringOnPanel "OPERANDS ON " Passed ***
*** 2016-05-10 17:24:31 'r009.pl' 282 - write2CommandLine "STEP 5 AUTO" Passed ***
